index,C#,CNAME,PERIOD,CREDIT,TEACHER
95,GNED100701,数字化设计与制造软件应用基础,40.0,2.0,许睦旬
96,GNED100901,先进制造之美,32.0,2.0,"蒋维涛,梁庆宣"
97,GNED101001,艺术设计思维与实践,32.0,2.0,"李萌,杨增耀"
98,GNED101101,人工智能导论,40.0,2.0,"张小栋,秦立果"
99,INDE000701,工业设计导论,16.0,1.0,"张煜,李萌,杨增耀,李宏伟,蔺肖曼,陈天宁"
100,INDE300601,机械设计基础Ⅲ,48.0,2.5,奚延辉
101,INDE400101,工业社会学,32.0,2.0,孙孝飞
102,INDE400601,设计调查,32.0,2.0,杨增耀
103,INDE401401,设计造型Ⅱ,48.0,2.0,蔺肖曼
104,INDE401501,工业设计心理学基础,40.0,2.0,张煜
105,INDE401601,人因素和人机学,48.0,2.5,李宏伟
106,INDE500801,人机界面设计,40.0,2.0,杨增耀
107,INDE500901,工业大数据处理与程序设计,40.0,2.0,卫颜俊
108,INDE501001,Web编程技术,40.0,2.0,谢涛
109,INDE900201,工业设计实践Ⅱ-5,32.0,1.0,杨增耀
110,INDE900301,工业设计实践Ⅱ-2,32.0,1.0,张煜
111,INDE900801,工业设计实践Ⅰ-5,32.0,1.0,李宏伟
112,INDE901001,工业设计实践Ⅰ-2,32.0,1.0,蔺肖曼
113,INSM000101,测控技术导论,16.0,1.0,"赵立波,杨青,赵宏,彭年才,彭锦峰,梁霖,景蔚萱"
114,INSM302001,工程光学II-2,40.0,2.5,贾书海
115,INSM302001,工程光学II-2,40.0,2.5,王昭
116,INSM302201,误差理论与数据处理,32.0,2.0,李支康
117,INSM401201,无线传感网络技术,24.0,1.5,韦学勇
118,INSM401501,测试技术,48.0,2.0,"徐光华,李敏"
119,INSM401601,MEMS技术及应用,40.0,2.0,卢德江
120,INSM401801,数字图像处理,40.0,2.0,赵自新
121,INSM501901,智能仪器与虚拟仪器设计,52.0,3.0,"侯成刚,陶唐飞"
122,INSM502001,设备监测与诊断技术及应用,36.0,1.5,"徐光华,梁霖"
123,INSM502101,机床精密测量与动态测试,40.0,2.0,"李兵,丁建军"
124,INSM900101,仪器设计综合性实验-1,80.0,2.5,"侯成刚,刘弹"
125,INSM900301,工程光学专题实验,16.0,0.5,胡改玲
126,ITDE500601,模具设计与制造工艺,56.0,2.0,臧顺来
127,ITDE500701,CDIO项目实践,56.0,2.0,段玉岗
128,JZSJ900101,光电检测专题实验,32.0,1.0,"张璐薇,李珂嘉"
129,JZSJ900101,光电检测专题实验,32.0,1.0,"张璐薇,李珂嘉"
130,JZSJ900301,综合性实践训练,64.0,2.0,赵宏
131,MACH000101,机械工程导论,16.0,1.0,朱永生
132,MACH000101,机械工程导论,16.0,1.0,李涤尘
133,MACH000101,机械工程导论,16.0,1.0,吴成军
134,MACH000101,机械工程导论,16.0,1.0,刘志刚
135,MACH000201,智能制造工程导论,16.0,1.0,"陈雪峰,陈贵敏,张留洋,张小栋,曹军义,周光辉,江平宇,刘啸川"
136,MACH390801,机械制图,48.0,3.0,刘弹
137,MACH390901,工程制图,32.0,2.0,彭军
138,MACH390901,工程制图,32.0,2.0,许睦旬
139,MACH390901,工程制图,32.0,2.0,许睦旬
140,MACH390901,工程制图,32.0,2.0,续丹
141,MACH390901,工程制图,32.0,2.0,张群明
142,MACH390901,工程制图,32.0,2.0,张四聪
143,MACH390901,工程制图,32.0,2.0,张四聪
144,MACH390901,工程制图,32.0,2.0,陶唐飞
145,MACH390901,工程制图,32.0,2.0,陶唐飞
